Idx,Parent Name,Node Name
0,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_11
1,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_5
2,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_6
3,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_6
4,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_6
5,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_6
6,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_6
7,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_6
8,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_6
9,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_4
10,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_17
11,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_8
12,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_13
13,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_13
14,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_12
15,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_12
16,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_12
17,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_12
18,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_1
19,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_1
20,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_1
21,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_1
22,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_1
23,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_3
24,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_3
25,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_3
26,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_3
27,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_16
28,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_14
29,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_14
30,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_14
31,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_14
32,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_14
33,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_14
34,ctx-rh-lateralorbitofrontal,rh.lateralorbitofrontal_14
35,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_3
36,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_3
37,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_10
38,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_10
39,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_10
40,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_10
41,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_10
42,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_8
43,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_8
44,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_4
45,ctx-rh-medialorbitofrontal,rh.medialorbitofrontal_6
46,ctx-rh-parstriangularis,rh.parstriangularis_8
47,ctx-rh-parstriangularis,rh.parstriangularis_8
48,ctx-rh-parstriangularis,rh.parstriangularis_8
49,ctx-rh-parstriangularis,rh.parstriangularis_8
50,ctx-rh-parstriangularis,rh.parstriangularis_8
51,ctx-rh-parstriangularis,rh.parstriangularis_5
52,ctx-rh-parstriangularis,rh.parstriangularis_3
53,ctx-rh-parstriangularis,rh.parstriangularis_7
54,ctx-rh-parstriangularis,rh.parstriangularis_7
55,ctx-rh-parsopercularis,rh.parsopercularis_4
56,ctx-rh-parsopercularis,rh.parsopercularis_9
57,ctx-rh-parsopercularis,rh.parsopercularis_9
58,ctx-rh-parsopercularis,rh.parsopercularis_9
59,ctx-rh-parsopercularis,rh.parsopercularis_7
60,ctx-rh-parsopercularis,rh.parsopercularis_6
61,ctx-rh-parsopercularis,rh.parsopercularis_6
62,ctx-rh-parsopercularis,rh.parsopercularis_6
63,ctx-rh-parsopercularis,rh.parsopercularis_2
64,ctx-rh-parsopercularis,rh.parsopercularis_2
65,ctx-rh-parsopercularis,rh.parsopercularis_2
66,ctx-rh-parsopercularis,rh.parsopercularis_2
67,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_19
68,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_19
69,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_21
70,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_21
71,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_21
72,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_21
73,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_21
74,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_21
75,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_21
76,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_10
77,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_10
78,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_10
79,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_20
80,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_20
81,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_18
82,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_18
83,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_18
84,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_18
85,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_18
86,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_7
87,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_23
88,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_23
89,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_23
90,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_23
91,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_27
92,ctx-rh-rostralmiddlefrontal,rh.rostralmiddlefrontal_14
